zip_code,studio,1BR,2BR,3BR,4BR,studio_monthly_income_rq,1BR_monthly_income_rq,2BR_monthly_income_rq,3BR_monthly_income_rq,4BR_monthly_income_rq,studio_yrly_income_rq,1BR_yrly_income_rq,2BR_yrly_income_rq,3BR_yrly_income_rq,4BR_yrly_income_rq,studio_hourly_wage_rq_one_brdwnr,1BR_hourly_wage_rq_one_brdwnr,2BR_hourly_wage_rq_one_brdwnr,3BR_hourly_wage_rq_one_brdwnr,4BR_hourly_wage_rq_one_brdwnr,studio_hourly_wage_rq_two_brdwnrs,1BR_hourly_wage_rq_two_brdwnrs,2BR_hourly_wage_rq_two_brdwnrs,3BR_hourly_wage_rq_two_brdwnrs,4BR_hourly_wage_rq_two_brdwnrs
33002,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33010,1150,1310,1630,2140,2540,3833,4366,5433,7133,8466,46000,52400,65200,85600,101600,22,25,31,41,48,11,12,15,20,24
33011,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33012,1230,1400,1740,2290,2710,4100,4666,5800,7633,9033,49200,56000,69600,91600,108400,23,26,33,44,52,11,13,16,22,26
33013,1150,1310,1630,2140,2540,3833,4366,5433,7133,8466,46000,52400,65200,85600,101600,22,25,31,41,48,11,12,15,20,24
33014,1390,1580,1960,2580,3050,4633,5266,6533,8600,10166,55600,63200,78400,103200,122000,26,30,37,49,58,13,15,18,24,29
33015,1490,1690,2100,2760,3270,4966,5633,7000,9200,10900,59600,67600,84000,110400,130800,28,32,40,53,62,14,16,20,26,31
33016,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33017,1360,1540,1920,2530,2990,4533,5133,6400,8433,9966,54400,61600,76800,101200,119600,26,29,36,48,57,13,14,18,24,28
33018,1660,1890,2350,3090,3660,5533,6300,7833,10300,12200,66400,75600,94000,123600,146400,31,36,45,59,70,15,18,22,29,35
33023,1200,1300,1620,2270,2760,4000,4333,5400,7566,9200,48000,52000,64800,90800,110400,23,25,31,43,53,11,12,15,21,26
33030,1090,1240,1540,2030,2400,3633,4133,5133,6766,8000,43600,49600,61600,81200,96000,20,23,29,39,46,10,11,14,19,23
33031,1170,1320,1650,2170,2570,3900,4400,5500,7233,8566,46800,52800,66000,86800,102800,22,25,31,41,49,11,12,15,20,24
33032,1280,1450,1800,2370,2810,4266,4833,6000,7900,9366,51200,58000,72000,94800,112400,24,27,34,45,54,12,13,17,22,27
33033,1100,1250,1550,2040,2420,3666,4166,5166,6800,8066,44000,50000,62000,81600,96800,21,24,29,39,46,10,12,14,19,23
33034,1130,1290,1600,2100,2490,3766,4300,5333,7000,8300,45200,51600,64000,84000,99600,21,24,30,40,47,10,12,15,20,23
33035,1500,1700,2120,2790,3300,5000,5666,7066,9300,11000,60000,68000,84800,111600,132000,28,32,40,53,63,14,16,20,26,31
33039,1140,1290,1600,2110,2500,3800,4300,5333,7033,8333,45600,51600,64000,84400,100000,21,24,30,40,48,10,12,15,20,24
