"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"12086","0","10","70","0","2023","2","",122575,1230101,1233959,1217504,21616275923,1262673060,12761832,1355,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",3642,3.1,44141,3.7,44153,3.7,46713,4.0,1611999048,8.1,-100141579,-7.3,977826,8.3,53,4.1
"12086","1","10","71","0","2023","2","",151,20982,20796,20721,522807443,0,0,1930,"",0.24,0.89,0.89,0.90,0.92,0.00,0.00,1.03,"",-10,-6.2,-66,-0.3,48,0.2,47,0.2,1197100,0.2,0,0.0,0,0.0,3,0.2
"12086","1","102","72","0","2023","2","",151,20982,20796,20721,522807443,0,0,1930,"",0.24,0.91,0.90,0.91,0.94,0.00,0.00,1.03,"",-10,-6.2,-66,-0.3,48,0.2,47,0.2,1197100,0.2,0,0.0,0,0.0,3,0.2
"12086","1","1021","73","0","2023","2","",67,6136,5866,5823,95165303,0,0,1232,"",0.21,1.12,1.09,1.10,1.09,0.00,0.00,0.98,"",-1,-1.5,6,0.1,14,0.2,-13,-0.2,-10800916,-10.2,0,0.0,0,0.0,-140,-10.2
"12086","1","1022","73","0","2023","2","",1,68,68,66,1637074,0,0,1870,"",0.64,1.30,1.29,1.27,1.22,0.00,0.00,0.95,"",0,0.0,-34,-33.3,-36,-34.6,-37,-35.9,222218,15.7,0,0.0,0,0.0,813,76.9
"12086","1","1023","73","0","2023","2","",1,6,6,6,209972,0,0,2692,"",0.12,0.06,0.06,0.06,0.06,0.00,0.00,0.96,"",-1,-50.0,2,50.0,2,50.0,2,50.0,95009,82.6,0,0.0,0,0.0,481,21.8
"12086","1","1024","73","0","2023","2","",2,259,261,261,8790705,0,0,2597,"",0.13,0.46,0.46,0.47,0.59,0.00,0.00,1.27,"",0,0.0,0,0.0,-2,-0.8,2,0.8,257825,3.0,0,0.0,0,0.0,76,3.0
"12086","1","1025","73","0","2023","2","",3,2810,2807,2824,68443293,0,0,1871,"",0.20,0.80,0.80,0.81,0.84,0.00,0.00,1.04,"",0,0.0,38,1.4,47,1.7,88,3.2,-2578695,-3.6,0,0.0,0,0.0,-111,-5.6
"12086","1","1026","73","0","2023","2","",9,259,271,274,5927707,0,0,1701,"",0.60,0.71,0.69,0.69,0.98,0.00,0.00,1.41,"",-1,-10.0,-1,-0.4,8,3.0,9,3.4,672104,12.8,0,0.0,0,0.0,162,10.5
"12086","1","1027","73","0","2023","2","",1,2,2,2,9435,0,0,363,"",0.58,0.05,0.05,0.05,0.02,0.00,0.00,0.31,"",0,0.0,0,0.0,0,0.0,0,0.0,4857,106.1,0,0.0,0,0.0,187,106.2
"12086","1","1028","73","0","2023","2","",67,11442,11515,11465,342623954,0,0,2297,"",0.26,0.88,0.89,0.89,0.95,0.00,0.00,1.07,"",-7,-9.5,-77,-0.7,15,0.1,-4,0.0,13324698,4.0,0,0.0,0,0.0,94,4.3
"12086","1","44-45","74","0","2023","2","",2,10,8,7,69061,0,0,637,"",0.27,0.03,0.02,0.02,0.02,0.00,0.00,0.86,"",0,0.0,-1,-9.1,-4,-33.3,-6,-46.2,-38864,-36.0,0,0.0,0,0.0,-55,-7.9
"12086","1","455","75","0","2023","2","",2,10,8,7,69061,0,0,637,"",0.69,0.05,0.04,0.03,0.04,0.00,0.00,0.88,"",0,0.0,-1,-9.1,-4,-33.3,-6,-46.2,-38864,-36.0,0,0.0,0,0.0,-55,-7.9
"12086","1","4551","76","0","2023","2","",2,10,8,7,69061,0,0,637,"",0.92,0.07,0.06,0.05,0.05,0.00,0.00,0.89,"",0,0.0,-1,-9.1,-4,-33.3,-6,-46.2,-38864,-36.0,0,0.0,0,0.0,-55,-7.9
"12086","1","45511","77","0","2023","2","",2,10,8,7,69061,0,0,637,"",0.92,0.07,0.06,0.05,0.05,0.00,0.00,0.89,"",0,0.0,-1,-9.1,-4,-33.3,-6,-46.2,-38864,-36.0,0,0.0,0,0.0,-55,-7.9
